"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25","6,798.08","6,876.28","6,877.93","6,766.53","-","-0.62%"
"Oct 25","6,840.20","6,664.92","6,920.34","6,550.78","-","2.27%"
"Sep 25","6,688.46","6,401.51","6,699.52","6,360.58","-","3.53%"
"Aug 25","6,460.26","6,287.28","6,508.23","6,212.69","-","1.91%"
"Jul 25","6,339.39","6,187.25","6,427.02","6,177.97","-","2.17%"
"Jun 25","6,204.95","5,896.68","6,215.08","5,861.43","-","4.96%"
"May 25","5,911.69","5,625.14","5,968.61","5,578.64","-","6.15%"
"Apr 25","5,569.06","5,597.53","5,695.31","4,835.04","-","-0.76%"
"Mar 25","5,611.85","5,968.33","5,986.09","5,488.73","-","-5.75%"
"Feb 25","5,954.50","5,969.65","6,147.43","5,837.66","-","-1.42%"
"Jan 25","6,040.53","5,903.26","6,128.18","5,773.31","-","2.70%"
"Dec 24","5,881.63","6,040.11","6,099.97","5,832.30","-","-2.50%"
"Nov 24","6,032.38","5,723.22","6,044.17","5,696.51","-","5.73%"
"Oct 24","5,705.45","5,757.73","5,878.46","5,674.00","-","-0.99%"
"Sep 24","5,762.48","5,623.89","5,767.37","5,402.62","-","2.02%"
"Aug 24","5,648.40","5,537.84","5,651.62","5,119.26","-","2.28%"
"Jul 24","5,522.30","5,471.08","5,669.67","5,390.95","-","1.13%"
"Jun 24","5,460.48","5,297.15","5,523.64","5,234.32","-","3.47%"
"May 24","5,277.51","5,029.03","5,341.88","5,011.05","-","4.80%"
"Apr 24","5,035.69","5,257.97","5,263.95","4,953.56","-","-4.16%"
"Mar 24","5,254.35","5,098.51","5,264.85","5,056.82","-","3.10%"
"Feb 24","5,096.27","4,861.11","5,111.06","4,853.52","-","5.17%"
"Jan 24","4,845.65","4,745.20","4,931.09","4,682.11","-","1.59%"
"Dec 23","4,769.83","4,559.43","4,793.30","4,546.50","-","4.42%"
"Nov 23","4,567.80","4,201.27","4,587.64","4,197.74","-","8.92%"
"Oct 23","4,193.80","4,284.52","4,393.57","4,103.78","-","-2.20%"
"Sep 23","4,288.05","4,530.60","4,541.25","4,238.63","-","-4.87%"
"Aug 23","4,507.66","4,578.83","4,584.62","4,335.31","-","-1.77%"
"Jul 23","4,588.96","4,450.48","4,607.07","4,385.05","-","3.11%"
"Jun 23","4,450.38","4,183.03","4,458.48","4,171.64","-","6.47%"
"May 23","4,179.83","4,166.79","4,231.10","4,048.28","-","0.25%"
"Apr 23","4,169.48","4,102.20","4,170.06","4,049.35","-","1.46%"
"Mar 23","4,109.31","3,963.34","4,110.75","3,808.86","-","3.51%"
"Feb 23","3,970.15","4,070.07","4,195.44","3,943.08","-","-2.61%"
"Jan 23","4,076.60","3,853.29","4,094.21","3,794.33","-","6.18%"
"Dec 22","3,839.50","4,087.14","4,100.96","3,764.49","-","-5.90%"
"Nov 22","4,080.11","3,901.79","4,080.11","3,698.15","-","5.38%"
"Oct 22","3,871.98","3,609.78","3,905.42","3,491.58","-","7.99%"
"Sep 22","3,585.62","3,936.73","4,119.28","3,584.13","-","-9.34%"
"Aug 22","3,955.00","4,112.38","4,325.28","3,954.53","-","-4.24%"
"Jul 22","4,130.29","3,781.00","4,140.15","3,721.56","-","9.11%"
"Jun 22","3,785.38","4,149.78","4,177.51","3,636.87","-","-8.39%"
"May 22","4,132.15","4,130.61","4,307.66","3,810.32","-","0.01%"
"Apr 22","4,131.93","4,540.32","4,593.45","4,124.28","-","-8.80%"
"Mar 22","4,530.41","4,363.14","4,637.30","4,157.87","-","3.58%"
"Feb 22","4,373.94","4,519.57","4,595.31","4,114.65","-","-3.14%"
"Jan 22","4,515.55","4,778.14","4,818.62","4,222.62","-","-5.26%"
"Dec 21","4,766.18","4,602.82","4,808.93","4,495.12","-","4.36%"
"Nov 21","4,567.00","4,610.62","4,743.83","4,560.00","-","-0.83%"
"Oct 21","4,605.38","4,317.16","4,608.08","4,278.94","-","6.91%"
"Sep 21","4,307.54","4,528.80","4,545.85","4,305.91","-","-4.76%"
"Aug 21","4,522.68","4,406.86","4,537.36","4,367.73","-","2.90%"
"Jul 21","4,395.26","4,300.73","4,429.97","4,233.13","-","2.27%"
"Jun 21","4,297.50","4,216.52","4,302.43","4,164.40","-","2.22%"
"May 21","4,204.11","4,191.98","4,238.04","4,056.88","-","0.55%"
"Apr 21","4,181.17","3,992.78","4,218.78","3,992.78","-","5.24%"
"Mar 21","3,972.89","3,842.51","3,994.41","3,723.34","-","4.24%"
"Feb 21","3,811.15","3,731.17","3,950.43","3,725.62","-","2.61%"
"Jan 21","3,714.24","3,764.61","3,870.90","3,662.71","-","-1.11%"
"Dec 20","3,756.07","3,645.87","3,760.20","3,633.40","-","3.71%"
"Nov 20","3,621.63","3,296.20","3,645.99","3,279.74","-","10.75%"
"Oct 20","3,269.96","3,385.87","3,549.85","3,233.94","-","-2.77%"
"Sep 20","3,363.00","3,507.44","3,588.11","3,209.45","-","-3.92%"
"Aug 20","3,500.31","3,288.26","3,514.77","3,284.53","-","7.01%"
"Jul 20","3,271.12","3,105.92","3,279.99","3,101.17","-","5.51%"
"Jun 20","3,100.29","3,038.78","3,233.13","2,965.66","-","1.84%"
"May 20","3,044.31","2,869.09","3,068.67","2,766.64","-","4.53%"
"Apr 20","2,912.43","2,498.08","2,954.86","2,447.49","-","12.68%"
"Mar 20","2,584.59","2,974.28","3,136.72","2,191.86","-","-12.51%"
"Feb 20","2,954.22","3,235.66","3,393.52","2,855.84","-","-8.41%"
"Jan 20","3,225.52","3,244.67","3,337.77","3,214.64","-","-0.16%"
"Dec 19","3,230.78","3,143.85","3,247.93","3,070.33","-","2.86%"
"Nov 19","3,140.98","3,050.72","3,154.26","3,050.72","-","3.40%"
"Oct 19","3,037.56","2,983.69","3,050.10","2,855.94","-","2.04%"
"Sep 19","2,976.74","2,909.01","3,021.99","2,891.85","-","1.72%"
"Aug 19","2,926.46","2,980.32","3,013.59","2,822.12","-","-1.81%"
"Jul 19","2,980.38","2,971.41","3,027.98","2,952.22","-","1.31%"
"Jun 19","2,941.76","2,751.53","2,964.15","2,728.81","-","6.89%"
"May 19","2,752.06","2,952.33","2,954.13","2,750.52","-","-6.58%"
"Apr 19","2,945.83","2,848.63","2,949.52","2,848.63","-","3.93%"
"Mar 19","2,834.40","2,798.22","2,860.31","2,722.27","-","1.79%"
"Feb 19","2,784.49","2,702.32","2,813.49","2,681.83","-","2.97%"
"Jan 19","2,704.10","2,476.96","2,708.95","2,443.96","-","7.87%"
"Dec 18","2,506.85","2,790.50","2,800.18","2,346.58","-","-9.18%"
"Nov 18","2,760.17","2,717.58","2,815.15","2,631.09","-","1.79%"
"Oct 18","2,711.74","2,926.29","2,939.86","2,603.54","-","-6.94%"
"Sep 18","2,913.98","2,896.96","2,940.91","2,864.12","-","0.43%"
"Aug 18","2,901.52","2,821.17","2,916.50","2,796.34","-","3.03%"
"Jul 18","2,816.29","2,704.95","2,848.03","2,698.95","-","3.60%"
"Jun 18","2,718.37","2,718.70","2,791.47","2,691.99","-","0.48%"
"May 18","2,705.27","2,643.64","2,742.24","2,594.62","-","2.16%"
"Apr 18","2,648.05","2,633.45","2,717.49","2,553.80","-","0.27%"
"Mar 18","2,640.87","2,715.22","2,801.90","2,585.89","-","-2.69%"
"Feb 18","2,713.83","2,816.45","2,835.96","2,532.69","-","-3.89%"
"Jan 18","2,823.81","2,683.73","2,872.87","2,682.36","-","5.62%"
"Dec 17","2,673.61","2,645.10","2,694.97","2,605.52","-","0.98%"
"Nov 17","2,647.58","2,583.21","2,657.74","2,557.45","-","2.81%"
"Oct 17","2,575.26","2,521.20","2,582.98","2,520.40","-","2.22%"
"Sep 17","2,519.36","2,474.42","2,519.44","2,446.55","-","1.93%"
"Aug 17","2,471.65","2,477.10","2,490.87","2,417.35","-","0.05%"
"Jul 17","2,470.30","2,431.39","2,484.04","2,407.70","-","1.93%"
"Jun 17","2,423.41","2,415.65","2,453.82","2,405.70","-","0.48%"
"May 17","2,411.80","2,388.50","2,418.71","2,352.72","-","1.16%"
"Apr 17","2,384.20","2,362.34","2,398.16","2,328.95","-","0.91%"
"Mar 17","2,362.72","2,380.13","2,400.98","2,322.25","-","-0.04%"
"Feb 17","2,363.64","2,285.59","2,371.54","2,271.65","-","3.72%"
"Jan 17","2,278.87","2,251.57","2,300.99","2,245.13","-","1.79%"
"Dec 16","2,238.83","2,200.17","2,277.53","2,187.44","-","1.82%"
"Nov 16","2,198.81","2,128.68","2,214.10","2,083.79","-","3.42%"
"Oct 16","2,126.15","2,164.33","2,169.60","2,114.72","-","-1.94%"
"Sep 16","2,168.27","2,171.33","2,187.87","2,119.12","-","-0.12%"
"Aug 16","2,170.95","2,173.15","2,193.81","2,147.58","-","-0.12%"
"Jul 16","2,173.60","2,099.34","2,177.09","2,074.02","-","3.56%"
"Jun 16","2,098.86","2,093.94","2,120.55","1,991.68","-","0.09%"
"May 16","2,096.96","2,067.17","2,103.48","2,025.91","-","1.53%"
"Apr 16","2,065.30","2,056.62","2,111.05","2,033.80","-","0.27%"
"Mar 16","2,059.74","1,937.09","2,072.21","1,937.09","-","6.60%"
"Feb 16","1,932.23","1,936.94","1,962.96","1,810.10","-","-0.41%"
"Jan 16","1,940.24","2,038.20","2,038.20","1,812.29","-","-5.07%"
"Dec 15","2,043.94","2,082.93","2,104.27","1,993.26","-","-1.75%"
"Nov 15","2,080.41","2,080.76","2,116.48","2,019.39","-","0.05%"
"Oct 15","2,079.36","1,919.65","2,094.32","1,893.70","-","8.30%"
"Sep 15","1,920.03","1,970.09","2,020.86","1,871.91","-","-2.64%"
"Aug 15","1,972.18","2,104.49","2,112.66","1,867.01","-","-6.26%"
"Jul 15","2,103.84","2,067.00","2,132.82","2,044.02","-","1.97%"
"Jun 15","2,063.11","2,108.64","2,129.87","2,056.32","-","-2.10%"
"May 15","2,107.39","2,087.38","2,134.72","2,067.93","-","1.05%"
"Apr 15","2,085.51","2,067.63","2,125.92","2,048.38","-","0.85%"
"Mar 15","2,067.89","2,105.23","2,117.52","2,039.69","-","-1.74%"
"Feb 15","2,104.50","1,996.67","2,119.59","1,980.90","-","5.49%"
"Jan 15","1,994.99","2,058.90","2,072.36","1,988.12","-","-3.10%"
"Dec 14","2,058.90","2,065.78","2,093.55","1,972.56","-","-0.42%"
"Nov 14","2,067.56","2,018.21","2,075.76","2,001.01","-","2.45%"
"Oct 14","2,018.05","1,971.44","2,018.19","1,820.66","-","2.32%"
"Sep 14","1,972.29","2,004.07","2,019.26","1,964.04","-","-1.55%"
"Aug 14","2,003.37","1,929.80","2,005.04","1,904.78","-","3.77%"
"Jul 14","1,930.67","1,962.29","1,991.39","1,930.67","-","-1.51%"
"Jun 14","1,960.23","1,923.87","1,968.17","1,915.98","-","1.91%"
"May 14","1,923.57","1,884.39","1,924.03","1,859.79","-","2.10%"
"Apr 14","1,883.95","1,873.96","1,897.28","1,814.36","-","0.62%"
"Mar 14","1,872.34","1,857.68","1,883.97","1,834.44","-","0.69%"
"Feb 14","1,859.45","1,782.68","1,867.92","1,737.92","-","4.31%"
"Jan 14","1,782.60","1,845.90","1,850.80","1,770.50","-","-3.56%"
"Dec 13","1,848.40","1,806.50","1,849.40","1,768.00","-","2.36%"
"Nov 13","1,805.80","1,758.70","1,813.50","1,746.20","-","2.81%"
"Oct 13","1,756.50","1,682.40","1,775.20","1,646.50","-","4.46%"
"Sep 13","1,681.50","1,636.00","1,729.90","1,633.40","-","2.97%"
"Aug 13","1,633.00","1,689.40","1,709.70","1,627.50","-","-3.13%"
"Jul 13","1,685.70","1,609.80","1,698.80","1,604.60","-","4.94%"
"Jun 13","1,606.30","1,631.70","1,654.20","1,560.30","-","-1.50%"
"May 13","1,630.70","1,597.50","1,687.20","1,581.30","-","2.07%"
"Apr 13","1,597.60","1,569.20","1,597.60","1,536.00","-","1.81%"
"Mar 13","1,569.20","1,514.70","1,570.30","1,501.50","-","3.60%"
"Feb 13","1,514.70","1,498.10","1,530.90","1,485.00","-","1.11%"
"Jan 13","1,498.10","1,426.20","1,509.90","1,426.20","-","5.04%"
"Dec 12","1,426.20","1,416.30","1,448.00","1,398.10","-","0.71%"
"Nov 12","1,416.20","1,412.20","1,434.30","1,343.30","-","0.28%"
"Oct 12","1,412.20","1,440.90","1,471.00","1,403.30","-","-1.98%"
"Sep 12","1,440.70","1,406.50","1,474.50","1,396.60","-","2.42%"
"Aug 12","1,406.60","1,379.30","1,426.70","1,354.70","-","1.98%"
"Jul 12","1,379.30","1,362.30","1,391.70","1,325.40","-","1.26%"
"Jun 12","1,362.20","1,309.90","1,363.50","1,266.70","-","3.96%"
"May 12","1,310.30","1,397.90","1,415.30","1,292.00","-","-6.27%"
"Apr 12","1,397.90","1,408.50","1,422.40","1,357.40","-","-0.75%"
"Mar 12","1,408.50","1,365.90","1,419.20","1,340.00","-","3.13%"
"Feb 12","1,365.70","1,312.50","1,378.00","1,312.50","-","4.06%"
"Jan 12","1,312.40","1,258.90","1,333.50","1,258.90","-","4.36%"
"Dec 11","1,257.60","1,246.90","1,269.40","1,202.40","-","0.85%"
"Nov 11","1,247.00","1,251.00","1,277.50","1,158.70","-","-0.50%"
"Oct 11","1,253.30","1,131.20","1,292.70","1,074.80","-","10.77%"
"Sep 11","1,131.40","1,219.10","1,229.30","1,114.20","-","-7.18%"
"Aug 11","1,218.90","1,292.60","1,307.40","1,101.50","-","-5.68%"
"Jul 11","1,292.30","1,320.60","1,356.50","1,282.90","-","-2.14%"
"Jun 11","1,320.60","1,345.20","1,345.20","1,258.10","-","-1.83%"
"May 11","1,345.20","1,365.20","1,370.60","1,311.80","-","-1.35%"
"Apr 11","1,363.60","1,329.50","1,364.60","1,294.70","-","2.85%"
"Mar 11","1,325.80","1,328.60","1,332.30","1,249.00","-","-0.11%"
"Feb 11","1,327.20","1,289.10","1,344.10","1,289.10","-","3.20%"
"Jan 11","1,286.10","1,257.60","1,302.70","1,257.60","-","2.27%"
"Dec 10","1,257.60","1,186.60","1,262.60","1,186.60","-","6.53%"
"Nov 10","1,180.50","1,185.70","1,227.10","1,173.00","-","-0.24%"
"Oct 10","1,183.30","1,143.50","1,196.10","1,131.90","-","3.69%"
"Sep 10","1,141.20","1,049.70","1,157.20","1,049.70","-","8.76%"
"Aug 10","1,049.30","1,107.50","1,129.20","1,039.70","-","-4.75%"
"Jul 10","1,101.60","1,031.10","1,121.00","1,010.90","-","6.88%"
"Jun 10","1,030.70","1,087.30","1,131.20","1,028.30","-","-5.39%"
"May 10","1,089.40","1,188.60","1,205.10","1,040.80","-","-8.20%"
"Apr 10","1,186.70","1,171.20","1,219.80","1,170.70","-","1.48%"
"Mar 10","1,169.40","1,105.40","1,180.70","1,105.40","-","5.88%"
"Feb 10","1,104.50","1,073.90","1,112.40","1,044.50","-","2.85%"
"Jan 10","1,073.90","1,116.60","1,150.50","1,071.60","-","-3.69%"
