Reported Date,Bullish,Neutral,Bearish,Total,Mov Avg,Bull-Bear Spread,Bullish Average,
3/2/2023,23.38%,31.82%,44.81%,100%,28.74%,-21.40%,37.60%,
3/9/2023,24.83%,33.45%,41.72%,100%,28.84%,-16.90%,37.60%,
3/16/2023,19.22%,32.38%,48.40%,100%,27.37%,-29.20%,37.60%,
3/23/2023,20.95%,30.17%,48.88%,100%,26.44%,-27.90%,37.60%,
3/30/2023,22.51%,31.87%,45.61%,100%,25.52%,-23.10%,37.60%,
4/6/2023,33.33%,31.65%,35.02%,100%,25.00%,-1.70%,37.60%,
4/13/2023,26.05%,39.46%,34.48%,100%,23.99%,-8.40%,37.60%,
4/20/2023,27.22%,37.66%,35.13%,100%,24.68%,-7.90%,37.60%,
4/27/2023,24.14%,37.36%,38.51%,100%,24.78%,-14.40%,37.60%,
5/4/2023,24.08%,31.02%,44.90%,100%,24.69%,-20.80%,37.60%,
5/11/2023,29.39%,29.39%,41.22%,100%,25.96%,-11.80%,37.60%,
5/18/2023,22.90%,37.37%,39.73%,100%,26.20%,-16.80%,37.60%,
5/25/2023,27.38%,32.92%,39.69%,100%,26.81%,-12.30%,37.60%,
6/1/2023,29.05%,34.12%,36.82%,100%,26.28%,-7.80%,37.60%,
6/8/2023,44.55%,31.15%,24.30%,100%,28.59%,20.20%,37.60%,
6/15/2023,45.18%,32.12%,22.70%,100%,30.83%,22.50%,37.50%,
6/22/2023,42.86%,29.39%,27.76%,100%,33.17%,15.10%,37.60%,
6/29/2023,41.93%,30.60%,27.47%,100%,35.40%,14.50%,37.60%,
7/6/2023,46.39%,29.12%,24.48%,100%,37.53%,21.90%,37.60%,
7/13/2023,41.00%,33.14%,25.87%,100%,39.79%,15.10%,37.60%,
7/20/2023,51.36%,27.15%,21.49%,100%,42.79%,29.90%,37.60%,
7/27/2023,44.91%,30.98%,24.12%,100%,44.77%,20.80%,37.60%,
8/3/2023,48.98%,29.70%,21.32%,100%,45.33%,27.70%,37.60%,
8/10/2023,44.70%,29.80%,25.50%,100%,45.27%,19.20%,37.50%,
8/17/2023,35.89%,33.97%,30.14%,100%,44.39%,5.80%,37.60%,
8/24/2023,32.27%,31.81%,35.93%,100%,43.19%,-3.70%,37.60%,
8/31/2023,33.09%,32.37%,34.53%,100%,41.52%,-1.40%,37.60%,
9/7/2023,42.19%,28.22%,29.59%,100%,41.67%,12.60%,37.60%,
9/14/2023,34.42%,36.36%,29.22%,100%,39.56%,5.20%,37.60%,
9/21/2023,31.30%,34.10%,34.61%,100%,37.85%,-3.30%,37.60%,
9/28/2023,27.79%,31.27%,40.94%,100%,35.21%,-13.20%,37.60%,
10/5/2023,30.10%,28.32%,41.58%,100%,33.38%,-11.50%,37.60%,
10/12/2023,40.00%,23.51%,36.49%,100%,33.89%,3.50%,37.60%,
10/19/2023,34.07%,31.32%,34.62%,100%,34.12%,-0.50%,37.60%,
10/26/2023,29.28%,27.54%,43.18%,100%,33.64%,-13.90%,37.60%,
11/2/2023,24.31%,25.41%,50.28%,100%,31.41%,-26.00%,37.60%,
11/9/2023,42.60%,30.18%,27.22%,100%,32.43%,15.40%,37.60%,
11/16/2023,43.78%,28.11%,28.11%,100%,33.99%,15.70%,37.60%,
11/23/2023,45.30%,31.05%,23.65%,100%,36.18%,21.70%,37.60%,
11/30/2023,48.76%,31.68%,19.57%,100%,38.51%,29.20%,37.60%,
12/7/2023,47.31%,25.27%,27.42%,100%,39.43%,19.90%,37.60%,
12/14/2023,51.30%,29.39%,19.31%,100%,41.58%,32.00%,37.60%,
12/21/2023,52.92%,26.18%,20.89%,100%,44.54%,32.00%,37.60%,
12/28/2023,46.33%,28.61%,25.06%,100%,47.29%,21.30%,37.60%,
1/4/2024,48.56%,27.94%,23.50%,100%,48.03%,25.10%,37.60%,
1/11/2024,48.59%,27.25%,24.16%,100%,48.63%,24.40%,37.60%,
1/18/2024,40.38%,32.86%,26.76%,100%,48.02%,13.60%,37.60%,
1/25/2024,39.27%,34.63%,26.10%,100%,46.83%,13.20%,37.60%,
2/1/2024,49.07%,26.40%,24.53%,100%,47.05%,24.50%,37.60%,
2/8/2024,49.03%,28.41%,22.56%,100%,46.77%,26.50%,37.60%,
2/15/2024,42.17%,31.06%,26.77%,100%,45.42%,15.40%,37.60%,
2/22/2024,44.28%,29.52%,26.20%,100%,45.17%,18.10%,37.60%,
2/29/2024,46.50%,32.17%,21.34%,100%,44.91%,25.20%,37.60%,
3/7/2024,51.74%,26.50%,21.77%,100%,45.30%,30.00%,37.60%,
3/14/2024,45.90%,32.22%,21.88%,100%,45.99%,24.00%,37.60%,
3/21/2024,43.20%,29.61%,27.19%,100%,46.48%,16.00%,37.60%,
3/28/2024,50.00%,27.55%,22.45%,100%,46.60%,27.60%,37.60%,
4/4/2024,47.29%,30.49%,22.22%,100%,46.38%,25.10%,37.60%,
4/11/2024,43.44%,32.51%,24.04%,100%,46.54%,19.40%,37.60%,
4/18/2024,38.27%,27.76%,33.96%,100%,45.79%,4.30%,37.60%,
4/25/2024,32.13%,33.93%,33.93%,100%,44.00%,-1.80%,37.60%,
5/2/2024,38.49%,29.02%,32.49%,100%,42.34%,6.00%,37.60%,
5/9/2024,40.82%,35.37%,23.81%,100%,41.71%,17.00%,37.60%,
5/16/2024,40.86%,35.88%,23.26%,100%,41.41%,17.60%,37.60%,
5/23/2024,47.04%,26.64%,26.32%,100%,41.04%,20.70%,37.60%,
5/30/2024,39.04%,34.25%,26.71%,100%,40.01%,12.30%,37.60%,
6/6/2024,38.97%,29.04%,31.99%,100%,39.45%,7.00%,37.60%,
6/13/2024,44.59%,29.73%,25.68%,100%,40.24%,18.90%,37.60%,
6/20/2024,44.37%,33.12%,22.51%,100%,41.77%,21.90%,37.60%,
6/27/2024,44.49%,27.17%,28.35%,100%,42.52%,16.10%,37.60%,
7/4/2024,41.74%,32.17%,26.09%,100%,42.64%,15.70%,37.60%,
7/11/2024,49.18%,29.10%,21.72%,100%,43.68%,27.50%,37.60%,
7/18/2024,52.75%,23.81%,23.44%,100%,44.39%,29.30%,37.60%,
7/25/2024,43.17%,25.09%,31.73%,100%,44.91%,11.40%,37.60%,
8/1/2024,44.88%,29.92%,25.20%,100%,45.65%,19.70%,37.60%,
8/8/2024,40.54%,22.01%,37.45%,100%,45.14%,3.10%,37.60%,
8/15/2024,42.54%,28.57%,28.89%,100%,44.91%,13.70%,37.60%,
8/22/2024,51.61%,24.73%,23.66%,100%,45.80%,28.00%,37.60%,
8/29/2024,51.16%,21.86%,26.98%,100%,46.98%,24.20%,37.60%,
9/5/2024,45.33%,29.76%,24.91%,100%,46.50%,20.40%,37.60%,
9/12/2024,39.80%,29.25%,30.95%,100%,44.88%,8.80%,37.60%,
9/19/2024,50.83%,22.77%,26.40%,100%,45.84%,24.40%,37.60%,
9/26/2024,49.62%,26.69%,23.68%,100%,46.43%,25.90%,37.60%,
10/3/2024,45.45%,27.27%,27.27%,100%,47.04%,18.20%,37.60%,
10/10/2024,49.01%,30.43%,20.55%,100%,47.85%,28.50%,37.60%,
10/17/2024,45.45%,29.17%,25.38%,100%,47.08%,20.10%,37.60%,
10/24/2024,37.70%,32.38%,29.92%,100%,45.40%,7.80%,37.60%,
10/31/2024,39.49%,29.61%,30.90%,100%,44.67%,8.60%,37.60%,
11/7/2024,41.54%,30.88%,27.57%,100%,44.89%,14.00%,37.60%,
11/14/2024,49.84%,21.81%,28.35%,100%,44.77%,21.50%,37.60%,
11/21/2024,41.29%,25.48%,33.23%,100%,43.72%,8.10%,37.60%,
11/28/2024,37.05%,24.30%,38.65%,100%,42.67%,-1.60%,37.60%,
12/5/2024,48.33%,21.00%,30.67%,100%,42.59%,17.70%,37.60%,
12/12/2024,43.33%,25.00%,31.67%,100%,42.32%,11.70%,37.60%,
12/19/2024,40.71%,27.86%,31.43%,100%,42.70%,9.30%,37.60%,
12/26/2024,37.80%,28.05%,34.15%,100%,42.49%,3.70%,37.60%,
1/2/2025,35.44%,30.38%,34.18%,100%,41.73%,1.30%,37.60%,
1/9/2025,34.67%,27.96%,37.37%,100%,39.83%,-2.70%,37.60%,
1/16/2025,25.43%,34.00%,40.57%,100%,37.85%,-15.10%,37.60%,
1/23/2025,43.43%,27.14%,29.43%,100%,38.64%,14.00%,37.60%,
1/30/2025,40.96%,25.00%,34.04%,100%,37.72%,6.90%,37.60%,
2/6/2025,33.33%,23.81%,42.86%,100%,36.47%,-9.50%,37.60%,
2/13/2025,28.42%,24.32%,47.27%,100%,34.94%,-18.90%,37.60%,
2/20/2025,29.19%,30.35%,40.46%,100%,33.86%,-11.30%,37.60%,
2/27/2025,19.38%,20.00%,60.62%,100%,31.85%,-41.20%,37.60%,
3/6/2025,19.33%,23.56%,57.11%,100%,29.93%,-37.80%,37.60%,
3/13/2025,19.11%,21.66%,59.24%,100%,29.14%,-40.10%,37.60%,
3/20/2025,21.58%,20.30%,58.12%,100%,26.41%,-36.50%,37.60%,
3/27/2025,27.42%,20.43%,52.15%,100%,24.72%,-24.70%,37.60%,
4/3/2025,21.76%,16.32%,61.92%,100%,23.27%,-40.20%,37.60%,
4/10/2025,28.52%,12.55%,58.94%,100%,23.29%,-30.40%,37.60%,
4/17/2025,25.44%,17.71%,56.86%,100%,22.82%,-31.40%,37.60%,
4/24/2025,21.94%,22.51%,55.56%,100%,23.14%,-33.60%,37.60%,
5/1/2025,20.94%,19.76%,59.29%,100%,23.34%,-38.30%,37.60%,
5/8/2025,29.45%,19.02%,51.53%,100%,24.63%,-22.10%,37.60%,
5/15/2025,35.93%,19.66%,44.41%,100%,26.42%,-8.50%,37.60%,
5/22/2025,37.70%,25.57%,36.72%,100%,27.71%,1.00%,37.60%,
5/29/2025,32.89%,25.25%,41.86%,100%,29.10%,-9.00%,37.60%,
6/5/2025,32.66%,25.93%,41.41%,100%,29.62%,-8.80%,37.60%,
6/12/2025,36.67%,29.74%,33.59%,100%,31.02%,3.10%,37.60%,
6/19/2025,33.21%,25.37%,41.42%,100%,32.43%,-8.20%,37.60%,
6/26/2025,35.07%,24.65%,40.28%,100%,34.20%,-5.20%,37.60%,
7/3/2025,45.02%,21.87%,33.12%,100%,36.14%,11.90%,37.60%,
7/10/2025,41.38%,22.99%,35.63%,100%,36.82%,5.70%,37.60%,
7/17/2025,39.27%,21.75%,38.98%,100%,37.02%,0.30%,37.60%,
7/24/2025,36.78%,29.18%,34.04%,100%,37.51%,2.70%,37.60%,
7/31/2025,40.33%,26.67%,33.00%,100%,38.46%,7.30%,37.60%,
8/7/2025,34.87%,21.90%,43.23%,100%,38.24%,-8.40%,37.60%,
8/14/2025,29.88%,23.96%,46.15%,100%,37.82%,-16.30%,37.60%,
8/21/2025,30.84%,24.35%,44.81%,100%,37.30%,-14.00%,37.60%,
8/28/2025,34.60%,25.95%,39.45%,100%,35.99%,-4.80%,37.60%,
9/4/2025,32.69%,23.95%,43.37%,100%,34.91%,-10.70%,37.60%,
9/11/2025,28.03%,22.49%,49.48%,100%,33.50%,-21.50%,37.60%,
9/18/2025,41.67%,15.97%,42.36%,100%,34.11%,-0.70%,37.60%,
9/25/2025,41.73%,19.06%,39.21%,100%,34.29%,2.50%,37.60%,
10/2/2025,42.92%,17.92%,39.17%,100%,35.29%,3.80%,37.60%,
10/9/2025,45.87%,18.48%,35.64%,100%,37.29%,10.20%,37.60%,
10/16/2025,33.66%,20.26%,46.08%,100%,37.65%,-12.40%,37.60%,
10/23/2025,36.86%,20.48%,42.66%,100%,37.93%,-5.80%,37.60%,
10/30/2025,44.03%,19.11%,36.86%,100%,39.34%,7.20%,37.60%,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Observations over life of survey,,,,,,,,
,,,,,,,,
Avg,37.62%,31.14%,31.24%,,37.57%,6.40%,,
STD,10.06%,8.14%,9.85%,,7.90%,18.20%,,
Avg + Std,47.68%,39.28%,41.10%,,45.47%,24.50%,,
Avg - Std,27.56%,22.99%,21.39%,,29.66%,-11.80%,,
Count,1995,1995,1995,,1981,1995,,
Max,75.00%,62.00%,70.27%,,64.47%,62.90%,,
Min,12.00%,7.69%,6.00%,,17.50%,-54.00%,,
,,,,,,,,
Max '87,66.00%,52.00%,42.00%,,53.00%,60.00%,,
Max '88,45.00%,62.00%,39.00%,,36.50%,31.00%,,
Max '89,53.00%,52.00%,48.00%,,39.88%,27.00%,,
Max '90,52.00%,56.00%,67.00%,,37.88%,28.00%,,
Max '91,58.00%,51.00%,51.00%,,50.63%,38.00%,,
Max '92,63.00%,47.00%,56.00%,,46.88%,53.00%,,
Max '93,60.00%,49.00%,45.00%,,48.25%,47.00%,,
Max '94,49.00%,52.00%,48.00%,,42.25%,27.00%,,
Max '95,53.00%,43.00%,38.00%,,48.50%,33.00%,,
Max '96,61.00%,46.00%,39.00%,,49.13%,51.00%,,
Max '97,63.00%,46.00%,37.00%,,51.63%,48.00%,,
Max '98,53.00%,49.00%,45.00%,,51.63%,40.00%,,
Max '99,62.00%,46.00%,32.00%,,54.88%,51.00%,,
Max '00,75.00%,48.50%,51.10%,,60.18%,61.70%,,
Max '01,69.30%,47.80%,47.20%,,54.81%,49.30%,,
Max '02,56.50%,40.90%,54.80%,,58.04%,41.90%,,
Max '03,71.40%,51.40%,57.90%,,59.36%,62.90%,,
Max '04,69.50%,40.50%,43.40%,,64.47%,56.20%,,
Max '05,58.60%,41.80%,51.00%,,53.78%,43.90%,,
Max '06,59.00%,35.90%,57.80%,,48.32%,39.90%,,
Max '07,57.80%,31.70%,56.10%,,48.10%,31.50%,,
Max '08,53.30%,27.20%,60.80%,,44.63%,28.10%,,
Max '09,51.00%,31.30%,70.30%,,42.03%,26.20%,,
Max '10,63.30%,37.90%,57.10%,,51.60%,46.90%,,
Max '11,55.90%,38.00%,49.90%,,53.35%,37.60%,,
Max '12,51.60%,36.20%,48.80%,,46.94%,32.00%,,
Max '13,55.10%,39.40%,54.50%,,45.44%,36.50%,,
Max '14,57.90%,44.30%,38.20%,,49.83%,38.60%,,
Max '15,51.70%,51.30%,40.70%,,48.54%,32.40%,,
Max '16,49.90%,52.90%,48.70%,,44.65%,27.80%,,
Max '17,52.60%,43.40%,46.50%,,45.56%,32.00%,,
Max '18,59.80%,45.20%,50.30%,,50.11%,44.20%,,
Max '19,44.10%,46.30%,48.20%,,38.03%,23.60%,,
Max '20,55.80%,40.90%,52.70%,,47.21%,31.00%,,
Max '21,56.90%,39.80%,42.40%,,50.14%,36.50%,,
Max '22,33.50%,40.60%,60.90%,,31.80%,4.30%,,
,,,,,,,,
Min '87,23.00%,15.00%,6.00%,,28.88%,-17.00%,,x
Min '88,13.00%,34.00%,10.00%,,20.63%,-25.00%,,
Min '89,13.00%,21.00%,17.00%,,22.38%,-26.00%,,
Min '90,12.00%,16.00%,17.00%,,17.50%,-54.00%,,
Min '91,22.00%,12.00%,16.00%,,23.00%,-29.00%,,
Min '92,14.00%,20.00%,10.00%,,21.75%,-36.00%,,
Min '93,18.00%,27.00%,13.00%,,22.88%,-24.00%,,
Min '94,22.00%,22.00%,17.00%,,26.88%,-21.00%,,
Min '95,34.00%,18.00%,16.00%,,37.50%,-2.00%,,
Min '96,26.00%,18.00%,10.00%,,29.75%,-8.00%,,
Min '97,26.00%,22.00%,14.00%,,29.25%,-11.00%,,
Min '98,23.00%,30.00%,13.00%,,28.13%,-22.00%,,
Min '99,30.00%,23.00%,11.00%,,34.88%,-1.00%,,
Min '00,26.70%,7.70%,6.70%,,38.61%,-20.00%,,
Min '01,25.30%,10.70%,14.00%,,32.40%,-19.40%,,
Min '02,24.50%,16.40%,11.30%,,31.23%,-27.50%,,
Min '03,21.10%,7.70%,8.60%,,25.61%,-36.80%,,
Min '04,31.00%,13.50%,10.10%,,38.07%,-11.10%,,
Min '05,16.50%,13.00%,14.00%,,27.70%,-25.30%,,
Min '06,23.90%,12.30%,19.10%,,31.81%,-34.00%,,
Min '07,25.60%,12.20%,22.30%,,34.68%,-27.60%,,
Min '08,19.60%,7.70%,24.70%,,27.79%,-39.30%,,
Min '09,18.90%,10.80%,23.00%,,25.31%,-51.40%,,
Min '10,20.70%,14.00%,16.40%,,31.68%,-36.10%,,
Min '11,24.40%,19.00%,18.30%,,29.95%,-23.30%,,
Min '12,22.20%,21.60%,17.20%,,28.64%,-22.40%,,
Min '13,19.30%,22.60%,17.60%,,32.33%,-35.20%,,
Min '14,27.20%,22.80%,15.10%,,30.90%,-8.50%,,
Min '15,20.00%,29.00%,17.90%,,26.20%,-19.60%,,
Min '16,17.80%,23.00%,21.50%,,23.14%,-29.50%,,
Min '17,23.90%,23.50%,20.60%,,30.41%,-16.50%,,
Min '18,20.90%,18.20%,15.60%,,31.35%,-28.00%,,
Min '19,20.30%,24.20%,20.00%,,27.62%,-26.50%,,
Min '20,20.20%,14.50%,21.90%,,24.78%,-29.00%,,
Min '21,22.40%,21.60%,19.76%,,32.63%,-16.80%,,
Min '22,15.80%,19.20%,27.50%,,21.30%,-43.10%,,
Min '23,19.20%,23.50%,19.30%,,24.00%,-29.20%,,
Min '24,32.10%,21.00%,20.60%,,39.50%,-1.80%,,x
,,,,,,,,
Avg. '87,40.60%,33.60%,25.80%,,42.74%,14.80%,,
Avg. '88,27.30%,47.60%,25.10%,,27.67%,2.20%,,
Avg. '89,32.90%,37.00%,30.20%,,32.03%,2.70%,,
Avg. '90,27.30%,32.40%,40.30%,,28.00%,-13.00%,,
Avg. '91,38.10%,32.80%,29.10%,,37.38%,9.00%,,
Avg. '92,36.90%,34.80%,28.30%,,35.90%,8.60%,,
Avg. '93,32.60%,36.20%,31.20%,,33.40%,1.50%,,
Avg '94,34.60%,34.80%,30.60%,,34.56%,4.00%,,
Avg '95,38.70%,32.80%,28.50%,,38.37%,7.80%,,
Avg '96,39.90%,34.30%,25.80%,,39.31%,14.10%,,
Avg '97,42.10%,35.80%,22.10%,,42.03%,20.00%,,
Avg '98,37.20%,38.00%,24.80%,,37.14%,12.40%,,
Avg '99,42.40%,35.00%,22.60%,,41.33%,19.80%,,
Avg '00,49.40%,26.40%,24.20%,,50.22%,25.20%,,
Avg '01,42.70%,28.90%,28.50%,,41.75%,14.20%,,
Avg '02,39.50%,26.30%,28.40%,,40.38%,7.20%,,
Avg '03,48.40%,24.40%,27.20%,,47.29%,21.20%,,
Avg '04,49.00%,25.90%,25.10%,,49.37%,23.90%,,
Avg '05,40.40%,29.30%,30.30%,,41.11%,10.10%,,
Avg '06,41.00%,22.40%,36.60%,,41.17%,4.30%,,
Avg '07,41.00%,20.60%,38.30%,,41.46%,2.70%,,
Avg '08,34.10%,20.70%,45.20%,,34.26%,-11.10%,,
Avg '09,36.80%,21.30%,41.90%,,36.14%,-5.10%,,
Avg '10,40.70%,26.80%,32.50%,,39.85%,8.10%,,
Avg '11,37.50%,28.20%,34.30%,,38.52%,3.10%,,
Avg '12,36.50%,30.10%,33.40%,,36.16%,3.20%,,
Avg '13,39.70%,30.70%,29.60%,,39.46%,10.10%,,
Avg '14,39.40%,34.60%,26.00%,,39.41%,13.40%,,
Avg '15,32.50%,39.90%,27.50%,,33.82%,5.00%,,
Avg '16,30.20%,38.70%,31.00%,,29.00%,-0.80%,,
Avg '17,35.10%,33.60%,31.30%,,35.14%,3.80%,,
Avg '18,36.40%,32.90%,30.70%,,37.49%,5.70%,,
Avg '19,33.30%,36.00%,30.60%,,32.68%,2.70%,,
Avg '20,33.90%,27.30%,38.80%,,33.41%,-5.00%,,
Avg '21,39.70%,31.50%,28.80%,,40.70%,10.90%,,
Avg '22,24.70%,29.10%,46.20%,,25.20%,-21.50%,,
Avg '23,34.70%,32.00%,33.30%,,33.10%,1.50%,,
Avg '24,35.20%,23.90%,40.90%,,35.60%,-5.70%,,x
,,,,,,,,
Std Dev '87,12%,11%,9%,,7.60%,17.40%,,
Std Dev '88,8%,6%,7%,,4.28%,13.70%,,
Std Dev '89,8%,8%,7%,,4.65%,12.90%,,
Std Dev '90,9%,8%,12%,,6.20%,20.40%,,
Std Dev '91,9%,7%,8%,,6.77%,16.00%,,
Std Dev '92,11%,7%,9%,,7.90%,19.10%,,
Std Dev '93,9%,5%,7%,,7.93%,15.60%,,
Std Dev '94,7%,6%,6%,,4.79%,11.80%,,
Std Dev '95,5%,6%,6%,,3.01%,9.30%,,
Std Dev '96,9%,7%,6%,,5.74%,13.50%,,
Std Dev '97,8%,6%,5%,,5.57%,12.40%,,
Std Dev '98,8%,5%,7%,,5.75%,14.90%,,
Std Dev '99,9%,6%,5%,,4.22%,12.70%,,
Std Dev '00,12%,9%,10%,,4.74%,19.70%,,
Std Dev '01,12%,9%,8%,,6.19%,18.50%,,
Std Dev '02,9%,7%,11%,,7.12%,18.60%,,
Std Dev '03,13%,7%,11%,,10.81%,23.60%,,
Std Dev '04,10%,6%,8%,,7.14%,17.80%,,
Std Dev '05,10%,6%,9%,,6.37%,17.60%,,
Std Dev '06,8%,5%,8%,,4.74%,14.70%,,
Std Dev '07,7%,4%,8%,,3.15%,14.20%,,
Std Dev '08,8%,4%,9%,,4.48%,16.90%,,
Std Dev '09,8%,4%,8%,,4.34%,16.00%,,
Std Dev '10,9%,5%,8%,,5.56%,16.40%,,
Std Dev '11,7%,4%,7%,,6.49%,13.50%,,
Std Dev '12,7%,4%,8%,,5.73%,14.80%,,
Std Dev '13,7%,4%,7%,,3.81%,13.90%,,
Std Dev '14,7%,5%,5%,,5.17%,11.20%,,
Std Dev '15,7%,6%,6%,,6.21%,11.30%,,
Std Dev '16,8%,6%,6%,,4.56%,12.70%,,
Std Dev '17,6%,5%,5%,,4.10%,10.30%,,
Std Dev '18,8%,5%,8%,,5.11%,14.40%,,
Std Dev '19,6%,3%,7%,,3.32%,12.90%,,
Std Dev '20,8%,5%,9%,,5.74%,16.50%,,
Std Dev '21,8%,5%,6%,,4.98%,13.00%,,
Std Dev '22,5%,5%,8%,,2%,12%,,
Std Dev '23,10%,4%,8%,,7%,18%,,
Std Dev '24,5%,4%,4%,,2%,8%,,x
,,,,,,,,
Count '87,24,24,24,,17,24,,
Count '88,52,52,52,,52,52,,
Count '89,52,52,52,,52,52,,
Count '90,52,52,52,,52,52,,
Count '91,52,52,52,,52,52,,
Count '92,52,52,52,,52,52,,
Count '93,53,53,53,,53,53,,
Count '94,52,52,52,,52,52,,
Count '95,52,52,52,,52,52,,
Count '96,51,51,51,,44,51,,
Count '97,53,53,53,,53,53,,
Count '98,52,52,52,,52,52,,
Count '99,52,52,52,,52,52,,
Count '00,51,51,51,,51,51,,
Count '01,52,52,52,,52,52,,
Count '02,52,52,52,,52,52,,
Count '03,52,52,52,,52,52,,
Count '04,53,53,53,,53,53,,
Count '05,52,52,52,,52,52,,
Count '06,52,52,52,,52,52,,
Count '07,52,52,52,,52,52,,
Count '08,52,52,52,,52,52,,
Count '09,53,53,53,,53,53,,
Count '10,52,52,52,,52,52,,
Count '11,52,52,52,,52,52,,
Count '12,52,52,52,,52,52,,
Count '13,52,52,52,,52,52,,
Count '14,52,52,52,,52,52,,
Count '15,53,53,53,,53,53,,
Count '16,52,52,52,,52,52,,
Count '17,52,52,52,,52,52,,
Count '18,52,52,52,,52,52,,
Count '19,52,52,52,,52,52,,
Count '20,53,53,53,,53,53,,
Count '21,51,51,51,,51,51,,
Count '22,52,52,52,,52,52,,
Count '23,52,52,52,,52,52,,
Count '24,51,51,51,,51,51,,x
